Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment
208,147.70000,147.10000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
209,147.71250,147.11250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
210,147.72500,147.12500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
211,147.73750,147.13750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
212,147.75000,147.15000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
213,147.76250,147.16250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
214,147.80000,147.20000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
215,147.81250,147.21250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
216,147.82500,147.22500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
217,147.83750,147.23750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
218,147.85000,147.25000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
219,147.86250,147.26250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
220,147.87500,147.27500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
221,147.88750,147.28750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
222,147.90000,147.30000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
223,147.91250,147.31250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
224,147.92500,147.32500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
225,147.93750,147.33750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
226,147.95000,147.35000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
227,147.96250,147.36250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
228,147.97500,147.37500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
229,438.02500,433.02500,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
230,438.02500,432.62500,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
231,438.02500,431.02500,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
232,438.03750,433.03750,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
233,438.03750,432.63750,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
234,438.03750,431.03750,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
