Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
175,,438.937500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
176,,438.937500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
177,,439.275000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
178,,439.287500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
179,,439.300000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
180,,439.312500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
181,,439.325000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
182,,439.337500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
183,,439.350000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
184,,439.362500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
185,,439.375000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
186,,439.387500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
187,,439.400000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
188,,439.412500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
189,,439.425000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
190,,439.437500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
191,,439.450000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
192,,439.462500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
193,,439.475000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
194,,439.487500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
195,,439.500000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
196,,439.512500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
197,,439.525000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
198,,439.537500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
199,,439.550000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
200,,439.562500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
201,,439.575000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
202,,439.587500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
203,,439.600000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
204,,439.612500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
205,,439.625000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
206,,439.637500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
207,,439.650000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
208,,439.662500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
209,,439.675000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
210,,439.687500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
211,,439.700000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
212,,439.712500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
213,,439.725000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
214,,439.737500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
215,,439.750000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
216,,439.762500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
217,,439.775000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
218,,439.787500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
219,,439.800000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
220,,439.812500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
221,,439.825000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
222,,439.837500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
223,,439.850000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
224,,439.862500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
225,,439.875000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
226,,439.887500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
227,,439.900000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
228,,439.912500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
229,,439.925000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
230,,439.937500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
231,,439.950000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
232,,439.962500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
