Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,User CTCSS,Tx Power,Skip,Step,Attenuator,S-Meter Squelch,Bell,Vibrator,Half Dev,Clock Shift,BANK 1,BANK 2,BANK 3,BANK 4,BANK 5,BANK 6,BANK 7,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment
56,147.08750,147.68750,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,55
57,147.10000,145.50000,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,56
58,147.10000,147.70000,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,57
59,147.11250,145.51250,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,58
60,147.11250,147.71250,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,59
61,147.12500,145.52500,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,60
62,147.12500,147.72500,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,61
63,147.13750,145.53750,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,62
64,147.13750,147.73750,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,63
65,147.15000,145.55000,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,64
66,147.15000,147.75000,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,65
67,147.16250,145.56250,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,66
68,147.16250,147.76250,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,67
69,147.17500,145.57500,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,68
70,147.17500,147.77500,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,69
71,147.18750,145.58750,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,70
72,147.18750,147.78750,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,71
73,147.20000,145.60000,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,72
74,147.20000,147.80000,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,73
75,147.21250,145.61250,1.60 MHz,Minus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,74
